"","x"
"1","10.1186/s13750-017-0097-8"
"2","10.1186/s13750-019-0169-z"
"3","10.1186/s13750-014-0030-3"
"4","10.1186/2047-2382-3-16"
"5","10.1186/2047-2382-1-2"
"6","10.1186/s13750-020-00204-w"
"7","10.1186/2047-2382-3-9"
"8","10.1186/s13750-019-0170-6"
"9","10.1186/s13750-015-0041-8"
"10",NA
"11","10.1186/2047-2382-3-15"
"12","10.1186/2047-2382-4-3"
"13","10.1186/s13750-021-00218-y"
"14","10.1186/s13750-017-0095-x"
"15","10.1186/s13750-020-00189-6"
"16",NA
"17","10.1186/s13750-016-0065-8"
"18","10.1186/s13750-020-0185-z"
"19","10.1186/s13750-018-0131-5"
"20","10.1186/s13750-016-0078-3"
"21","10.1186/2047-2382-2-14"
"22","10.1186/2047-2382-2-4"
"23","10.1186/2047-2382-3-13"
"24","10.1186/s13750-017-0098-7"
"25","10.1186/s13750-015-0044-5"
"26","10.1186/2047-2382-2-19"
"27","10.1186/s13750-017-0089-8"
"28","10.1186/2047-2382-1-15"
"29",NA
"30","10.1186/s13750-015-0047-2"
"31","10.1186/s13750-019-0174-2"
"32","10.1186/s13750-019-0159-1"
"33","10.1186/s13750-019-0176-0"
"34","10.1186/s13750-016-0060-0"
"35","10.1186/2047-2382-1-5"
"36","10.1186/s13750-019-0165-3"
"37","10.1186/s13750-017-0113-z"
"38","10.1186/s13750-015-0031-x"
"39","10.1186/2047-2382-3-23"
"40","10.1186/s13750-017-0110-2"
"41","10.1186/s13750-016-0071-x"
"42","10.1186/2047-2382-3-7"
"43","10.1186/s13750-019-0173-3"
"44","10.1186/2047-2382-1-7"
"45","10.1186/s13750-018-0120-8"
"46","10.1186/2047-2382-2-1"
"47",NA
"48","10.1186/2047-2382-1-10"
"49","10.1186/s13750-020-00194-9"
"50","10.1186/s13750-019-0171-5"
"51","10.1186/s13750-018-0126-2"
"52","10.1186/2047-2382-3-17"
"53","10.1186/s13750-015-0051-6"
"54","10.1186/s13750-017-0104-0"
"55","10.1186/s13750-016-0077-4"
"56","10.1186/s13750-020-00212-w"
"57","10.1186/2047-2382-1-1"
"58","10.1186/s13750-020-00193-w"
"59","10.1186/s13750-016-0079-2"
"60","10.1186/2047-2382-3-21"
"61","10.1186/s13750-018-0117-3"
"62","10.1186/2047-2382-2-7"
"63","10.1186/s13750-020-00191-y"
"64","10.1186/2047-2382-3-20"
"65","10.1186/s13750-019-0153-7"
"66","10.1186/s13750-018-0119-1"
"67","10.1186/s13750-017-0082-2"
"68","10.1186/s13750-018-0121-7"
"69","10.1186/s13750-020-00197-6"
"70","10.1186/2047-2382-3-11"
"71","10.1186/s13750-016-0068-5"
"72","10.1186/2047-2382-2-21"
"73","10.1186/2047-2382-3-5"
"74","10.1186/s13750-020-0186-y"
"75","10.1186/s13750-020-00207-7"
"76","10.1186/s13750-018-0127-1"
"77","10.1186/s13750-015-0048-1"
"78","10.1186/s13750-016-0067-6"
"79","10.1186/s13750-015-0050-7"
"80","10.1186/s13750-018-0135-1"
"81","10.1186/s13750-017-0103-1"
"82","10.1186/s13750-020-00200-0"
"83","10.1186/2047-2382-1-13"
"84","10.1186/2047-2382-2-6"
"85","10.1186/s13750-020-00192-x"
"86","10.1186/s13750-018-0122-6"
"87","10.1186/2047-2382-3-25"
"88","10.1186/2047-2382-3-26"
"89","10.1186/s13750-016-0080-9"
"90","10.1186/s13750-017-0102-2"
"91","10.1186/s13750-017-0105-z"
"92","10.1186/s13750-019-0147-5"
"93","10.1186/s13750-015-0042-7"
"94","10.1186/2047-2382-1-6"
"95","10.1186/s13750-020-00199-4"
"96","10.1186/2047-2382-3-1"
"97","10.1186/s13750-020-00205-9"
"98","10.1186/2047-2382-1-4"
"99","10.1186/s13750-016-0062-y"
"100","10.1186/s13750-016-0063-x"
"101","10.1186/s13750-018-0128-0"
"102","10.1186/2047-2382-2-5"
"103","10.1186/s13750-019-0180-4"
"104","10.1186/2047-2382-2-2"
"105","10.1186/s13750-018-0134-2"
"106","10.1186/2047-2382-3-6"
"107","10.1186/2047-2382-2-12"
"108","10.1186/2047-2382-1-9"
"109","10.1186/s13750-016-0061-z"
"110","10.1186/2047-2382-1-11"
"111","10.1186/s13750-017-0100-4"
"112","10.1186/s13750-019-0155-5"
"113","10.1186/2047-2382-3-2"
"114","10.1186/s13750-019-0182-2"
"115","10.1186/s13750-017-0086-y"
"116","10.1186/s13750-016-0052-0"
"117","10.1186/s13750-017-0101-3"
"118","10.1186/s13750-017-0099-6"
"119",NA
"120","10.1186/2047-2382-2-18"
"121","10.1186/s13750-020-00203-x"
"122","10.1186/s13750-020-00214-8"
"123","10.1186/2047-2382-2-16"
"124","10.1186/s13750-018-0139-x"
"125","10.1186/s13750-020-0184-0"
"126","10.1186/s13750-016-0069-4"
"127","10.1186/s13750-018-0137-z"
"128","10.1186/s13750-018-0123-5"
"129","10.1186/s13750-018-0136-0"
"130","10.1186/s13750-017-0106-y"
"131","10.1186/2047-2382-3-24"
"132","10.1186/s13750-019-0160-8"
"133","10.1186/s13750-016-0072-9"
"134","10.1186/s13750-017-0090-2"
"135","10.1186/2047-2382-3-22"
"136","10.1186/2047-2382-3-12"
"137","10.1186/s13750-020-00211-x"
"138","10.1186/2047-2382-2-9"
"139","10.1186/s13750-018-0124-4"
"140","10.1186/s13750-015-0034-7"
"141","10.1186/s13750-020-00213-9"
"142","10.1186/s13750-015-0045-4"
"143","10.1186/s13750-020-00202-y"
"144","10.1186/s13750-018-0140-4"
"145","10.1186/2047-2382-4-2"
"146","10.1186/s13750-020-00206-8"
"147","10.1186/2047-2382-2-13"
"148","10.1186/s13750-018-0141-3"
"149","10.1186/s13750-017-0093-z"
"150",NA
"151","10.1186/s13750-020-00201-z"
"152","10.1186/s13750-018-0142-2"
"153","10.1186/s13750-019-0179-x"
"154","10.1186/s13750-016-0075-6"
"155","10.1186/2047-2382-2-20"
"156","10.1186/s13750-017-0108-9"
"157","10.1186/s13750-018-0115-5"
"158","10.1186/s13750-019-0175-1"
"159","10.1186/s13750-015-0039-2"
"160","10.1186/s13750-019-0157-3"
"161",NA
"162",NA
"163","10.1186/2047-2382-3-4"
"164","10.1186/s13750-019-0158-2"
"165","10.1186/2047-2382-1-3"
"166",NA
"167","10.1186/s13750-020-00196-7"
"168","10.1186/s13750-017-0084-0"
"169","10.1186/s13750-020-0187-x"
